Latitude,Longitude,Year Built,Beds,Baths,buildingSize,lotSize,PostalCode,Price
29.879739,-95.506508,1974.0,3.0,2.0,1288.0,0.0,77040,1450.0
29.779919,-95.559105,0.0,2.0,2.0,1204.0,0.0,77024,2409.0
29.749655,-95.623222,0.0,3.0,2.0,1425.0,0.0,77077,2168.0
29.72878,-95.55888,0.0,0.0,1.0,300.0,0.0,77042,1290.0
29.80505,-95.392109,1983.0,1.0,1.0,638.0,5632.0,77008,1575.0
29.756661,-95.382669,2006.0,3.0,3.0,1386.0,1607.0,77019,1899.0
29.77977,-95.347817,1933.0,2.0,1.0,750.0,6120.0,77026,750.0
29.882071,-95.665807,1983.0,4.0,2.0,1758.0,6721.0,77095,2900.0
29.945715,-95.438065,0.0,2.0,2.0,1033.0,0.0,77067,1225.0
29.785917,-95.418327,0.0,1.0,1.0,733.0,0.0,77008,1427.0
29.765156,-95.342035,2021.0,3.0,4.0,1836.0,1647.0,77020,2850.0
29.753114,-95.39064,1935.0,1.0,1.0,700.0,5001.0,77019,1195.0
29.737803,-95.38073,0.0,1.0,1.0,622.0,0.0,77002,1571.0
29.607199,-95.230026,0.0,2.0,1.0,904.0,0.0,77089,990.0
29.773172,-95.593821,1972.0,2.0,1.0,1376.0,0.0,77079,1316.0
29.799878,-95.40966,2019.0,3.0,4.0,2010.0,1673.0,77008,3150.0
29.807337,-95.43502,0.0,1.0,1.0,966.0,0.0,77008,1747.0
29.76406,-95.39007,0.0,1.0,1.0,707.0,0.0,77007,1449.0
29.850653,-95.344063,0.0,2.0,1.0,750.0,0.0,77093,983.0
29.73127,-95.58138,0.0,0.0,1.0,375.0,0.0,77082,750.0
29.69869,-95.385841,0.0,1.0,1.0,678.0,0.0,77054,1626.0
29.80812,-95.414634,1935.0,2.0,2.0,862.0,7240.0,77008,3300.0
29.758413,-95.382347,0.0,1.0,1.0,761.0,0.0,77019,1721.0
29.715083,-95.514192,1980.0,2.0,2.0,1002.0,118043.0,77036,1295.0
29.798792,-95.423325,0.0,1.0,1.0,626.0,0.0,77008,1345.0
30.03402,-95.17187,2001.0,1.0,1.0,696.0,0.0,77345,1025.0
29.628025,-95.403232,0.0,1.0,1.0,826.0,0.0,77047,1200.0
29.687395,-95.684063,2003.0,4.0,2.0,2952.0,0.0,77083,2415.0
29.845066,-95.546562,1976.0,2.0,1.0,968.0,0.0,77041,1800.0
